Unnamed: 0,Impact Rating,CVE-Id,Advisory,Versions Affected,Fixed in OpenSSL
1,low,CVE-2018-0737,"The OpenSSL RSA Key generation algorithm has been shown to be vulnerable
      to a cache timing side channel attack. An attacker with sufficient access
      to mount cache timing attacks during the RSA key generation process could
      recover the private key. Reported by Alejandro Cabrera Aldaya, Billy Brumley, Cesar Pereida Garcia and Luis Manuel Alvarez Tapia. ", 1.0.2-1.0.2o, 1.0.2p-dev 
2,moderate,CVE-2018-0739,"Constructed ASN.1 types with a recursive definition (such as can be found
      in PKCS7) could eventually exceed the stack given malicious input with
      excessive recursion. This could result in a Denial Of Service attack.
      There are no such structures used within SSL/TLS that come from untrusted
      sources so this is considered safe. Reported by OSS-fuzz. ", 1.0.2b-1.0.2n, 1.0.2o 
3,low,CVE-2017-3738,"There is an overflow bug in the AVX2 Montgomery multiplication procedure
      used in exponentiation with 1024-bit moduli. No EC algorithms are affected.
      Analysis suggests that attacks against RSA and DSA as a result of this defect
      would be very difficult to perform and are not believed likely. Attacks
      against DH1024 are considered just feasible, because most of the work
      necessary to deduce information about a private key may be performed offline.
      The amount of resources required for such an attack would be significant.
      However, for an attack on TLS to be meaningful, the server would have to share
      the DH1024 private key among multiple clients, which is no longer an option
      since CVE-2016-0701.

      This only affects processors that support the AVX2 but not ADX extensions
      like Intel Haswell (4th generation).

      Note: The impact from this issue is similar to CVE-2017-3736, CVE-2017-3732
      and CVE-2015-3193.

      Due to the low severity of this issue we are not issuing a new release of
      OpenSSL 1.1.0 at this time. The fix will be included in OpenSSL 1.1.0h when it
      becomes available. The fix is also available in commit e502cc86d in the OpenSSL
      git repository. Reported by David Benjamin (Google)/Google OSS-Fuzz. ", 1.0.2-1.0.2m, 1.0.2n 
4,moderate,CVE-2017-3737,"OpenSSL 1.0.2 (starting from version 1.0.2b) introduced an ""error state""
      mechanism. The intent was that if a fatal error occurred during a handshake then
      OpenSSL would move into the error state and would immediately fail if you
      attempted to continue the handshake. This works as designed for the explicit
      handshake functions (SSL_do_handshake(), SSL_accept() and SSL_connect()),
      however due to a bug it does not work correctly if SSL_read() or SSL_write() is
      called directly. In that scenario, if the handshake fails then a fatal error
      will be returned in the initial function call. If SSL_read()/SSL_write() is
      subsequently called by the application for the same SSL object then it will
      succeed and the data is passed without being decrypted/encrypted directly from
      the SSL/TLS record layer.

      In order to exploit this issue an application bug would have to be present that
      resulted in a call to SSL_read()/SSL_write() being issued after having already
      received a fatal error. Reported by David Benjamin (Google). ", 1.0.2b-1.0.2m, 1.0.2n 
5,moderate,CVE-2017-3736,"There is a carry propagating bug in the x86_64 Montgomery squaring procedure. No
      EC algorithms are affected. Analysis suggests that attacks against RSA and DSA
      as a result of this defect would be very difficult to perform and are not
      believed likely. Attacks against DH are considered just feasible (although very
      difficult) because most of the work necessary to deduce information
      about a private key may be performed offline. The amount of resources
      required for such an attack would be very significant and likely only
      accessible to a limited number of attackers. An attacker would
      additionally need online access to an unpatched system using the target
      private key in a scenario with persistent DH parameters and a private
      key that is shared between multiple clients.

      This only affects processors that support the BMI1, BMI2 and ADX extensions like
      Intel Broadwell (5th generation) and later or AMD Ryzen. Reported by Google OSS-Fuzz. ", 1.0.2-1.0.2l, 1.0.2m 
6,low,CVE-2017-3735,"While parsing an IPAdressFamily extension in an X.509 certificate,
      it is possible to do a one-byte overread. This would result in
      an incorrect text display of the certificate. Reported by Google OSS-Fuzz. ", 1.0.2-1.0.2l, 1.0.2m 
7,moderate,CVE-2017-3732,"There is a carry propagating bug in the x86_64 Montgomery squaring
      procedure. No EC algorithms are affected. Analysis suggests that attacks
      against RSA and DSA as a result of this defect would be very difficult to
      perform and are not believed likely. Attacks against DH are considered
      just feasible (although very difficult) because most of the work necessary
      to deduce information about a private key may be performed offline. The
      amount of resources required for such an attack would be very significant
      and likely only accessible to a limited number of attackers. An attacker
      would additionally need online access to an unpatched system using the
      target private key in a scenario with persistent DH parameters and a
      private key that is shared between multiple clients. For example this can
      occur by default in OpenSSL DHE based SSL/TLS ciphersuites. Note: This
      issue is very similar to CVE-2015-3193 but must be treated as a separate
      problem. Reported by OSS-Fuzz project. ", 1.0.2-1.0.2j, 1.0.2k 
8,moderate,CVE-2017-3731,"If an SSL/TLS server or client is running on a 32-bit host, and a specific
      cipher is being used, then a truncated packet can cause that server or
      client to perform an out-of-bounds read, usually resulting in a crash.

      For OpenSSL 1.1.0, the crash can be triggered when using
      CHACHA20/POLY1305; users should upgrade to 1.1.0d.

      For Openssl 1.0.2, the crash can be triggered when using RC4-MD5; users
      who have not disabled that algorithm should update to 1.0.2k Reported by Robert Święcki of Google. ", 1.0.2-1.0.2j, 1.0.2k 
9,low,CVE-2016-7055,"There is a carry propagating bug in the Broadwell-specific Montgomery
      multiplication procedure that handles input lengths divisible by, but
      longer than 256 bits. Analysis suggests that attacks against RSA, DSA
      and DH private keys are impossible. This is because the subroutine in
      question is not used in operations with the private key itself and an
      input of the attacker's direct choice. Otherwise the bug can manifest
      itself as transient authentication and key negotiation failures or
      reproducible erroneous outcome of public-key operations with specially
      crafted input. Among EC algorithms only Brainpool P-512 curves are
      affected and one presumably can attack ECDH key negotiation. Impact was
      not analyzed in detail, because pre-requisites for attack are considered
      unlikely. Namely multiple clients have to choose the curve in question and
      the server has to share the private key among them, neither of which is
      default behaviour. Even then only clients that chose the curve will be
      affected. Reported by Publicly reported. ", 1.0.2-1.0.2j, 1.0.2k 
10,moderate,CVE-2016-7052,"This issue only affects OpenSSL 1.0.2i, released on 22nd September 2016.

      A bug fix which included a CRL sanity check was added to OpenSSL 1.1.0
      but was omitted from OpenSSL 1.0.2i. As a result any attempt to use
      CRLs in OpenSSL 1.0.2i will crash with a null pointer exception. Reported by Bruce Stephens and Thomas Jakobi. ", 1.0.2i, 1.0.2j 
