Unnamed: 0,impact_Rating,CVE-Id,Advisory,versions_Affected
1,Low,CVE-2018-8014,Low: CORS filter has insecure defaults,
2,Important,CVE-2018-1305,"Important: Security constraint annotations applied too
       late",Affects: 8.0.0.RC1 to 8.0.49
3,Important,CVE-2018-1304,"Important: Security constraints mapped to context root are
       ignored",Affects: 8.0.0.RC1 to 8.0.49
4,Important,CVE-2018-1305,"Important: Security constraint annotations applied too
       late",Affects: 8.5.0 to 8.5.27
5,Important,CVE-2018-1304,"Important: Security constraints mapped to context root are
       ignored",Affects: 8.5.0 to 8.5.27
6,Low,CVE-2017-15706,Low: Incorrectly documented CGI search algorithm,Affects: 8.0.45 to 8.0.47
7,Low,CVE-2017-15706,Low: Incorrectly documented CGI search algorithm,Affects: 8.5.16 to 8.5.23
8,Important,CVE-2017-12617,Important: Remote Code Execution,Affects: 8.0.0.RC1 to 8.0.46
9,Important,CVE-2017-12617,Important: Remote Code Execution,Affects: 8.5.0 to 8.5.22
10,Moderate,CVE-2017-7674,Moderate: Cache Poisoning,Affects: 8.0.0.RC1 to 8.0.44
11,Important,CVE-2017-7675,Important: Security Constraint Bypass,Affects: 8.5.0 to 8.5.15
12,Moderate,CVE-2017-7674,Moderate: Cache Poisoning,Affects: 8.5.0 to 8.5.15
13,Important,CVE-2017-5664,Important: Security Constraint Bypass,Affects: 8.0.0.RC1 to 8.0.43
14,Important,CVE-2017-5664,Important: Security Constraint Bypass,Affects: 8.5.0 to 8.5.14
15,Important,CVE-2017-5647,Important: Information Disclosure,Affects: 8.0.0.RC1 to 8.0.42
16,Important,CVE-2017-5651,Important: Information Disclosure,Affects: 8.5.0 to 8.5.12
17,Important,CVE-2017-5650,Important: Denial of Service,Affects: 8.5.0 to 8.5.12
18,Important,CVE-2017-5647,Important: Information Disclosure,Affects: 8.5.0 to 8.5.12
19,Low,CVE-2017-5648,Low: Information Disclosure,Affects: 8.0.0.RC1 to 8.0.41
20,Low,CVE-2017-5648,Low: Information Disclosure,Affects: 8.5.0 to 8.5.11
21,Important,CVE-2016-8745,Important: Information Disclosure,Affects: 8.0.0.RC1 to 8.0.39
22,Moderate,CVE-2016-8747,Moderate: Information Disclosure,Affects: 8.5.7 to 8.5.9
23,Important,CVE-2016-8745,Important: Information Disclosure,Affects: 8.5.0 to 8.5.8
24,Important,CVE-2016-8735,Important: Remote Code Execution,Affects: 8.0.0.RC1 to 8.0.38
25,Important,CVE-2016-6816,Important: Information Disclosure,Affects: 8.0.0.RC1 to 8.0.38
26,Important,CVE-2016-8735,Important: Remote Code Execution,Affects: 8.5.0 to 8.5.6
27,Important,CVE-2016-6817,Important: Denial of Service,Affects: 8.5.0 to 8.5.6
28,Important,CVE-2016-6816,Important: Information Disclosure,Affects: 8.5.0 to 8.5.6
29,Low,CVE-2016-6797,Low: Unrestricted Access to Global Resources,"Affects: 8.5.0 to 8.5.4, 8.0.0.RC1 to 8.0.36"
30,Low,CVE-2016-6796,Low: Security Manager Bypass,"Affects: 8.5.0 to 8.5.4, 8.0.0.RC1 to 8.0.36"
31,Low,CVE-2016-6794,Low: System Property Disclosure,"Affects: 8.5.0 to 8.5.4, 8.0.0.RC1 to 8.0.36"
32,Low,CVE-2016-5018,Low: Security Manager Bypass,"Affects: 8.5.0 to 8.5.4, 8.0.0.RC1 to 8.0.36"
33,Low,CVE-2016-0762,Low: Timing Attack,"Affects: 8.5.0 to 8.5.4, 8.0.0.RC1 to 8.0.36"
34,Moderate,CVE-2016-3092,Moderate: Denial of Service,"Affects: 8.5.0 to 8.5.2, 8.0.0.RC1 to 8.0.35"
35,Low,CVE-2015-5346,Low: Session Fixation,Affects: 8.0.0.RC1 to 8.0.30
36,Moderate,CVE-2015-5351,Moderate: CSRF token leak,Affects: 8.0.0.RC1 to 8.0.30
37,Low,CVE-2016-0706,Low: Security Manager bypass,Affects: 8.0.0.RC1 to 8.0.30
38,Moderate,CVE-2016-0714,Moderate: Security Manager bypass,Affects: 8.0.0.RC1 to 8.0.30
39,Moderate,CVE-2016-0763,Moderate: Security Manager bypass,Affects: 8.0.0.RC1 to 8.0.30
40,Low,CVE-2015-5345,Low: Directory disclosure,Affects: 8.0.0.RC1 to 8.0.29
41,Low,CVE-2015-5174,Low: Limited directory traversal,Affects: 8.0.0-RC1 to 8.0.26
42,Moderate,CVE-2014-7810,Moderate: Security Manager bypass,Affects: 8.0.0-RC1 to 8.0.15
43,Important,CVE-2014-0227,Important: Request Smuggling,Affects: 8.0.0-RC1 to 8.0.8
44,Low,CVE-2014-0230,Low: Denial of Service,Affects: 8.0.0-RC1 to 8.0.8
45,Low,CVE-2014-0119,Low: Information Disclosure,Affects: 8.0.0-RC1 to 8.0.5
46,Important,CVE-2014-0075,Important: Denial of Service,Affects: 8.0.0-RC1 to 8.0.3
47,Important,CVE-2014-0095,Important: Denial of Service,Affects: 8.0.0-RC2 to 8.0.3
48,Important,CVE-2014-0096,Important: Information disclosure,Affects: 8.0.0-RC1 to 8.0.3
49,Important,CVE-2014-0099,Important: Information disclosure,Affects: 8.0.0-RC1 to 8.0.3
50,Important,CVE-2014-0050,Important: Denial of Service,Affects: 8.0.0-RC1 to 8.0.1
51,Important,CVE-2013-4322,Important: Denial of service,Affects: 8.0.0-RC1 to 8.0.0-RC5
52,Low,CVE-2013-4590,Low: Information disclosure,Affects: 8.0.0-RC1 to 8.0.0-RC5
53,Important,CVE-2013-4286,Important: Information disclosure,Affects: 8.0.0-RC1
54,Important,CVE-2017-6056,Important: Denial of Service,"Affects: Debian, Ubuntu and potentially other downstream
       distributions."
55,Important,CVE-2014-0160,Important: Remote Memory Read,"Affects: OpenSSL 1.0.1-1.0.1f, tcnative 1.1.24-1.1.29"
